link,text,user,likes,retweets,comments
https://twitter.com/nytimes/status/1593683578684047365#m,"🧵 Here's a guide to how you can keep up with The New York Times, on and off Twitter.  @nytimes shares news to help you understand the world.  @nytopinion offers crucial perspectives on the issues that matter to you.",The New York Times,8410,2962,27313
https://twitter.com/nytimes/status/1821651514777022770#m,From @TheAthletic: The U.S. men overcame a 17-point deficit to beat Serbia and advance to the gold medal game against France. Stephen Curry exploded for 36 points. https://nyti.ms/3LWSrHO,The New York Times,130,17,12
https://twitter.com/nytimes/status/1821651366026080621#m,"Trump Media & Technology Group, which owns Donald Trump's social network called Truth Social, is increasingly relying on a niche of the ad market that caters to hard-core Trump fans and Christian conservatives for revenue. https://nyti.ms/4ciZipy",The New York Times,20,7,13
https://twitter.com/nytimes/status/1821651363455021489#m,"Recent plots to attack critical infrastructure in the U.S. are part of a larger trend by far-right extremist groups to try to create chaos by bringing down the energy infrastructure that keeps society functioning, according to experts. https://nyti.ms/4dzHqYS",The New York Times,28,24,10
https://twitter.com/nytimes/status/1821645103347159472#m,"Scientists have developed a new weapon against HIV: a molecular mimic that invades a cell and steals essential proteins from the virus. After promising results in monkeys, scientists plan to test the new treatment in a few people. https://nyti.ms/3SGaQwk",The New York Times,113,30,13
https://twitter.com/nytimes/status/1821643809417044188#m,"In 1993, Tim Walz — then a teacher in Nebraska — gave his students a project: Identify which country faced the greatest risk of genocide, based on their study of the Holocaust. They chose Rwanda. A year later, 800,000 people were killed in ethnic violence. https://nyti.ms/4chazXB",The New York Times,211,64,33
https://twitter.com/nytimes/status/1821640053770052080#m,From @TheAthletic: Arshad Nadeem won Pakistan’s first-ever Olympic medal in track and field. He already had gold sewed up and then almost beat the Olympic record he just set with his final javelin throw on the night. https://nyti.ms/46GS0uD,The New York Times,254,40,21
https://twitter.com/nytimes/status/1821638020820308342#m,"The Global Alliance for Responsible Media, an influential advertising industry group, said it would shut down after being sued this week by X, Elon Musk’s social media company, according to an email sent to its members and obtained by The New York Times. https://nyti.ms/3YGdber",The New York Times,62,28,44
https://twitter.com/nytimes/status/1821637536390783024#m,"Kamala Harris’s national security adviser said on Thursday that she did not support an arms embargo on Israel, laying out one of her first firm policy positions since becoming the Democratic nominee on how she would approach the war in Gaza. https://nyti.ms/46G3Fdt",The New York Times,62,18,22
https://twitter.com/nytimes/status/1821636685722980558#m,From @TheAthletic: One of the greatest upsets in the history of the Olympics could be in progress. The U.S. men's basketball team trails Serbia by double digits at halftime. https://nyti.ms/3WWpan2,The New York Times,73,16,18
https://twitter.com/nytimes/status/1821636015183786409#m,"The actor Gabriel Olds was arrested on Wednesday after three women accused him of luring them into a “false sense of security” on dates and then sexually assaulting them, the Los Angeles police said. https://nyti.ms/3M4zFy5",The New York Times,37,10,14
https://twitter.com/nytimes/status/1821635596936265977#m,From @TheAthletic: It was a masterpiece on the track: Sydney McLaughlin-Levrone of the U.S. set a world record and won her third Olympic gold in the 400m hurdles final. https://nyti.ms/3Aq06vC,The New York Times,257,24,14
https://twitter.com/nytimes/status/1821633746673553510#m,"For the Paris Olympics, Jake Paul is in a partnership with U.S.A. Boxing that was touted as the first of its kind. It's an unpaid, loosely defined agreement between an influencer who has disrupted the sport and a program seeking to regain its luster. https://nyti.ms/4ci7XZu",The New York Times,26,5,18
https://twitter.com/nytimes/status/1821633010388566073#m,From @TheAthletic: Sydney McLaughlin-Levrone of the U.S. set a world record and won her third Olympic gold in the 400m hurdles final. https://nyti.ms/3yk5UXa,The New York Times,299,39,17
https://twitter.com/nytimes/status/1821632658771685794#m,"Breaking News: ABC News confirmed that Kamala Harris and Donald Trump's campaigns have agreed to a televised, prime-time debate on Sept. 10. Follow live updates. https://nyti.ms/46CWGBY",The New York Times,241,46,54
https://twitter.com/nytimes/status/1821631361028849873#m,From @TheAthletic: The American sprinter Noah Lyles was diagnosed with Covid two days before winning bronze in the 200m final. He collapsed into a wheelchair after the race. https://nyti.ms/4fBPiuu,The New York Times,138,28,29
https://twitter.com/nytimes/status/1821630027944841692#m,"""Adapted from Colleen Hoover’s best seller by Christy Hall, 'It Ends With Us' is fitfully diverting, at times touching, often ridiculous and, at 2 hours and 10 minutes, almost offensively long,"" our critic writes. Read the full review. https://nyti.ms/3WUqR46",The New York Times,31,6,15
https://twitter.com/nytimes/status/1821626215012143127#m,Tropical Storm Debby unleashed torrents of rain on some of North and South Carolina’s largest cities Thursday as the former hurricane pushed into Virginia. Follow live updates. https://nyti.ms/4dA5fzB,The New York Times,34,10,11
https://twitter.com/nytimes/status/1821626205595996653#m,"An athlete was found dead in the water during a swimming event on Thursday at the CrossFit Games, an international competition being held in Fort Worth, Texas. https://nyti.ms/4dxmhhO",The New York Times,34,9,7
https://twitter.com/nytimes/status/1821626202357916150#m,"Adults over age 65 who experience vision loss have a nearly 50% increased risk of developing dementia, according to a report published last week. If those vision problems are corrected, that risk drops dramatically. https://nyti.ms/4fCH5pR",The New York Times,76,14,7
https://twitter.com/nytimes/status/1821622490176639044#m,"As overdose death rates continue to worsen in Baltimore, the city has declined to divulge its plans or hold hearings on one of the worst public health crises in the U.S., saying it does not want to jeopardize its lawsuit against drugmakers. https://nyti.ms/3ymaDrj",The New York Times,37,12,11
https://twitter.com/nytimes/status/1821621676594925966#m,"A flight instructor was killed and a student pilot was injured when a helicopter crashed at a military base in Alabama on Wednesday, according to military officials. The crash was one of several Army aviation accidents involving helicopters this year. https://nyti.ms/46EQZmY",The New York Times,46,14,13
https://twitter.com/nytimes/status/1821621218383994936#m,"From @TheAthletic: Noah Lyles of the U.S. appeared to receive medical attention after his bronze medal finish in the 200m sprint, a race where he was one of the favorites. https://nyti.ms/4ciadjq",The New York Times,50,11,12
https://twitter.com/nytimes/status/1821620204616421662#m,"From @TheAthletic: Letsile Tebogo of Botswana beat Noah Lyles, the favorite, to win the men's 200m final. Lyles won bronze and Kenneth Bednarek of the U.S. took silver. https://nyti.ms/4fCCCDK",The New York Times,206,35,17
https://twitter.com/nytimes/status/1821619146636828823#m,"Donald Trump, speaking from Mar-a-Lago on Thursday in his first public appearance since Vice President Kamala Harris became the Democratic presidential nominee, proposed three dates for debates in September with Harris. Follow live election updates. https://nyti.ms/4dTnEYz",The New York Times,55,6,77
https://twitter.com/nytimes/status/1821618705001755089#m,"Trump Media & Technology Group, which owns Donald Trump's social network called Truth Social, is increasingly relying on a niche of the ad market that caters to hard-core Trump fans and Christian conservatives for revenue. https://nyti.ms/3SFWT1o",The New York Times,53,15,25
https://twitter.com/nytimes/status/1821614960515993642#m,"Post Malone made his name with all-star collaborations and genre-bending hits. With his latest LP, ""F-1 Trillion,"" he's going country. https://nyti.ms/3LXGAta",The New York Times,97,9,19
https://twitter.com/nytimes/status/1821611143271460983#m,"The FDA is nearing a decision on a treatment for post-traumatic stress disorder that pairs talk therapy with MDMA, a drug also known as Ecstasy or Molly. Veterans, researchers and Congress members from both parties have lobbied for its approval. https://nyti.ms/3yjVvL6",The New York Times,71,17,18
https://twitter.com/carolrosenberg/status/1821587262460793008#m,"For 9/11 Families and others who are still trying to sort out what the heck has gone on with the possible resolution of the case at Guantanamo Bay, here is our reconstruction of the events of last week.  https://www.nytimes.com/2024/08/04/us/politics/sept-11-plea-agreement.html",Carol Rosenberg,42,16,12
